,,,,,,,,
,Customer Satisfaction Score (CSAT),,,Customer Satisfaction/dissatisfied Score,,,,
,Количество положительных ответов,X 100,,Score,Experience Description,Quantity ,CSAT Includes ,Customer Satisfaction Description
,Общее количество ответов ,,,5,Excellent,,YES,
,,,,4,Good,,YES,
,Customer dissatisfied Score (CDSAT),,,3,Normal,,NO,
,Количество негативных ответов,X 100,,2,Bad,,NO,
,Общее количество ответов ,,,1,Very bad,,NO,
,,,,,,,,
,,,,,,,,
,User Usability Score,,,User Usability Score,,,,
,Сумма всех оценнок ,"
= User Usability Score",,Вопрос в опросе,Общая оценка,Все оценки(количество),Описание оценки,
,Количество всех ответов ,,,"Насколько легко вам 
было найти нужную 
функцию?",3.09,"1,4,5,2,5,5,3,2,4,2,1",1- Очень плохо,
,,,,"Насколько 
интуитивным был 
интерфейс?",,,2- Плохо,
,,,,"Были ли затруднения
при выполнении 
задач?",,,3- Удовлетворительно ,
,,,,"Удовлетворены ли вы
удобством 
приложения?",,,4- Хорошо,
,,,,"Рекомендовали бы 
вы приложение 
другим?",,,5- Отлично,
